date,fighter,weightclass,rank
2/4/13,Anderson Silva,Pound-for-Pound,1
2/4/13,Jon Jones,Pound-for-Pound,2
2/4/13,Georges St-Pierre,Pound-for-Pound,3
2/4/13,Jose Aldo,Pound-for-Pound,4
2/4/13,Benson Henderson,Pound-for-Pound,5
2/4/13,Cain Velasquez,Pound-for-Pound,6
2/4/13,Dominick Cruz,Pound-for-Pound,7
2/4/13,Demetrious Johnson,Pound-for-Pound,8
2/4/13,Frankie Edgar,Pound-for-Pound,9
2/4/13,Dan Henderson,Pound-for-Pound,10
2/4/13,Demetrious Johnson,Flyweight,0
2/4/13,Joseph Benavidez,Flyweight,1
2/4/13,John Dodson,Flyweight,2
2/4/13,Ian McCall,Flyweight,3
2/4/13,John Moraga,Flyweight,4
2/4/13,Jussier Da Silva,Flyweight,5
2/4/13,Louis Gaudinot,Flyweight,6
2/4/13,Chris Cariaso,Flyweight,7
2/4/13,John Lineker,Flyweight,8
2/4/13,Darren Uyenoyama,Flyweight,9
2/4/13,Ulysses Gomez,Flyweight,10
2/4/13,Dominick Cruz,Bantamweight,0
2/4/13,Renan Barao,Bantamweight,1
2/4/13,Michael McDonald,Bantamweight,2
2/4/13,Urijah Faber,Bantamweight,3
2/4/13,Eddie Wineland,Bantamweight,4
2/4/13,Brad Pickett,Bantamweight,5
2/4/13,Brian Bowles,Bantamweight,6
2/4/13,Rafael Assuncao,Bantamweight,7
2/4/13,Scott Jorgensen,Bantamweight,8
2/4/13,Mike Easton,Bantamweight,9
2/4/13,Ivan Menjivar,Bantamweight,10
2/4/13,Jose Aldo,Featherweight,0
2/4/13,Chad Mendes,Featherweight,1
2/4/13,Ricardo Lamas,Featherweight,2
2/4/13,Chan Sung Jung,Featherweight,3
2/4/13,Frankie Edgar,Featherweight,4
2/4/13,Dennis Siver,Featherweight,5
2/4/13,Cub Swanson,Featherweight,6
2/4/13,Dustin Poirier,Featherweight,7
2/4/13,Nik Lentz,Featherweight,8
2/4/13,Erik Koch,Featherweight,9
2/4/13,Clay Guida,Featherweight,10
2/4/13,Benson Henderson,Lightweight,0
2/4/13,Gilbert Melendez,Lightweight,1
2/4/13,Anthony Pettis,Lightweight,2
2/4/13,Gray Maynard,Lightweight,3
2/4/13,Nate Diaz,Lightweight,4
2/4/13,Jim Miller,Lightweight,5
2/4/13,Donald Cerrone,Lightweight,6
2/4/13,TJ Grant,Lightweight,7
2/4/13,Rafael dos Anjos,Lightweight,8
2/4/13,Joe Lauzon,Lightweight,9
2/4/13,Khabib Nurmagomedov,Lightweight,10
2/4/13,Georges St-Pierre,Welterweight,0
2/4/13,Johny Hendricks,Welterweight,1
2/4/13,Carlos Condit,Welterweight,2
2/4/13,Nick Diaz,Welterweight,3
2/4/13,Rory MacDonald,Welterweight,4
2/4/13,Demian Maia,Welterweight,5
2/4/13,Jake Ellenberger,Welterweight,6
2/4/13,Martin Kampmann,Welterweight,7
2/4/13,Josh Koscheck,Welterweight,8
2/4/13,Jon Fitch,Welterweight,9
2/4/13,Tarec Saffiedine,Welterweight,10
2/4/13,Anderson Silva,Middleweight,0
2/4/13,Chris Weidman,Middleweight,1
2/4/13,Vitor Belfort,Middleweight,2
2/4/13,Michael Bisping,Middleweight,3
2/4/13,Yushin Okami,Middleweight,4
2/4/13,Mark Munoz,Middleweight,5
2/4/13,Constantinos Philippou,Middleweight,6
2/4/13,Luke Rockhold,Middleweight,7
2/4/13,Hector Lombard,Middleweight,8
2/4/13,Alan Belcher,Middleweight,9
2/4/13,Tim Boetsch,Middleweight,10
2/4/13,Jon Jones,Light Heavyweight,0
2/4/13,Dan Henderson,Light Heavyweight,1
2/4/13,Lyoto Machida,Light Heavyweight,2
2/4/13,Alexander Gustafsson,Light Heavyweight,3
2/4/13,Glover Teixeira,Light Heavyweight,4
2/4/13,Antonio Rogerio Nogueira,Light Heavyweight,5
2/4/13,Rashad Evans,Light Heavyweight,6
2/4/13,Mauricio Rua,Light Heavyweight,7
2/4/13,Phil Davis,Light Heavyweight,8
2/4/13,Ryan Bader,Light Heavyweight,9
2/4/13,Gegard Mousasi,Light Heavyweight,10
2/4/13,Cain Velasquez,Heavyweight,0
2/4/13,Junior dos Santos,Heavyweight,1
2/4/13,Fabricio Werdum,Heavyweight,2
2/4/13,Daniel Cormier,Heavyweight,3
2/4/13,Antonio Silva,Heavyweight,4
2/4/13,Frank Mir,Heavyweight,5
2/4/13,Alistair Overeem,Heavyweight,6
2/4/13,Antonio Rodrigo Nogueira,Heavyweight,7
2/4/13,Roy Nelson,Heavyweight,8
2/4/13,Stefan Struve,Heavyweight,9
2/4/13,Shane Carwin,Heavyweight,10
2/11/13,Anderson Silva,Pound-for-Pound,1
2/11/13,Jon Jones,Pound-for-Pound,2
2/11/13,Georges St-Pierre,Pound-for-Pound,3
2/11/13,Jose Aldo,Pound-for-Pound,4
2/11/13,Benson Henderson,Pound-for-Pound,5
2/11/13,Cain Velasquez,Pound-for-Pound,6
2/11/13,Dominick Cruz,Pound-for-Pound,7
2/11/13,Demetrious Johnson,Pound-for-Pound,8
2/11/13,Frankie Edgar,Pound-for-Pound,9
2/11/13,Dan Henderson,Pound-for-Pound,10
2/11/13,Demetrious Johnson,Flyweight,0
2/11/13,Joseph Benavidez,Flyweight,1
2/11/13,John Dodson,Flyweight,2
2/11/13,Ian McCall,Flyweight,3
2/11/13,John Moraga,Flyweight,4
2/11/13,Jussier Da Silva,Flyweight,5
2/11/13,Louis Gaudinot,Flyweight,6
2/11/13,Chris Cariaso,Flyweight,7
2/11/13,John Lineker,Flyweight,8
2/11/13,Darren Uyenoyama,Flyweight,9
2/11/13,Ulysses Gomez,Flyweight,10
2/11/13,Dominick Cruz,Bantamweight,0
2/11/13,Renan Barao,Bantamweight,1
2/11/13,Michael McDonald,Bantamweight,2
2/11/13,Urijah Faber,Bantamweight,3
2/11/13,Eddie Wineland,Bantamweight,4
2/11/13,Brad Pickett,Bantamweight,5
2/11/13,Brian Bowles,Bantamweight,6
2/11/13,Rafael Assuncao,Bantamweight,7
2/11/13,Scott Jorgensen,Bantamweight,8
2/11/13,Mike Easton,Bantamweight,9
2/11/13,Ivan Menjivar,Bantamweight,10
2/11/13,Jose Aldo,Featherweight,0
2/11/13,Chad Mendes,Featherweight,1
2/11/13,Ricardo Lamas,Featherweight,2
2/11/13,Chan Sung Jung,Featherweight,3
2/11/13,Frankie Edgar,Featherweight,4
2/11/13,Dennis Siver,Featherweight,5
2/11/13,Cub Swanson,Featherweight,6
2/11/13,Dustin Poirier,Featherweight,7
2/11/13,Nik Lentz,Featherweight,8
2/11/13,Erik Koch,Featherweight,9
2/11/13,Clay Guida,Featherweight,10
2/11/13,Benson Henderson,Lightweight,0
2/11/13,Gilbert Melendez,Lightweight,1
2/11/13,Anthony Pettis,Lightweight,2
2/11/13,Gray Maynard,Lightweight,3
2/11/13,Nate Diaz,Lightweight,4
2/11/13,Jim Miller,Lightweight,5
2/11/13,Donald Cerrone,Lightweight,6
2/11/13,TJ Grant,Lightweight,7
2/11/13,Rafael dos Anjos,Lightweight,8
2/11/13,Joe Lauzon,Lightweight,9
2/11/13,Khabib Nurmagomedov,Lightweight,10
2/11/13,Georges St-Pierre,Welterweight,0
2/11/13,Johny Hendricks,Welterweight,1
2/11/13,Carlos Condit,Welterweight,2
2/11/13,Nick Diaz,Welterweight,3
2/11/13,Rory MacDonald,Welterweight,4
2/11/13,Demian Maia,Welterweight,5
2/11/13,Jake Ellenberger,Welterweight,6
2/11/13,Martin Kampmann,Welterweight,7
2/11/13,Josh Koscheck,Welterweight,8
2/11/13,Jon Fitch,Welterweight,9
2/11/13,Tarec Saffiedine,Welterweight,10
2/11/13,Anderson Silva,Middleweight,0
2/11/13,Chris Weidman,Middleweight,1
2/11/13,Vitor Belfort,Middleweight,2
2/11/13,Michael Bisping,Middleweight,3
2/11/13,Yushin Okami,Middleweight,4
2/11/13,Mark Munoz,Middleweight,5
2/11/13,Constantinos Philippou,Middleweight,6
2/11/13,Luke Rockhold,Middleweight,7
2/11/13,Hector Lombard,Middleweight,8
2/11/13,Alan Belcher,Middleweight,9
2/11/13,Tim Boetsch,Middleweight,10
2/11/13,Jon Jones,Light Heavyweight,0
2/11/13,Dan Henderson,Light Heavyweight,1
2/11/13,Lyoto Machida,Light Heavyweight,2
2/11/13,Alexander Gustafsson,Light Heavyweight,3
2/11/13,Glover Teixeira,Light Heavyweight,4
2/11/13,Antonio Rogerio Nogueira,Light Heavyweight,5
2/11/13,Rashad Evans,Light Heavyweight,6
2/11/13,Mauricio Rua,Light Heavyweight,7
2/11/13,Phil Davis,Light Heavyweight,8
2/11/13,Ryan Bader,Light Heavyweight,9
2/11/13,Gegard Mousasi,Light Heavyweight,10
2/11/13,Cain Velasquez,Heavyweight,0
2/11/13,Junior dos Santos,Heavyweight,1
2/11/13,Fabricio Werdum,Heavyweight,2
2/11/13,Daniel Cormier,Heavyweight,3
2/11/13,Antonio Silva,Heavyweight,4
2/11/13,Frank Mir,Heavyweight,5
2/11/13,Alistair Overeem,Heavyweight,6
2/11/13,Antonio Rodrigo Nogueira,Heavyweight,7
2/11/13,Roy Nelson,Heavyweight,8
2/11/13,Stefan Struve,Heavyweight,9
2/11/13,Shane Carwin,Heavyweight,10
2/12/13,Anderson Silva,Pound-for-Pound,1
2/12/13,Jon Jones,Pound-for-Pound,2
2/12/13,Georges St-Pierre,Pound-for-Pound,3
2/12/13,Jose Aldo,Pound-for-Pound,4
2/12/13,Benson Henderson,Pound-for-Pound,5
2/12/13,Cain Velasquez,Pound-for-Pound,6
2/12/13,Dominick Cruz,Pound-for-Pound,7
2/12/13,Demetrious Johnson,Pound-for-Pound,8
2/12/13,Frankie Edgar,Pound-for-Pound,9
2/12/13,Dan Henderson,Pound-for-Pound,10
2/12/13,Demetrious Johnson,Flyweight,0
2/12/13,Joseph Benavidez,Flyweight,1
2/12/13,John Dodson,Flyweight,2
2/12/13,Ian McCall,Flyweight,3
2/12/13,John Moraga,Flyweight,4
2/12/13,Jussier Da Silva,Flyweight,5
2/12/13,Louis Gaudinot,Flyweight,6
2/12/13,Chris Cariaso,Flyweight,7
2/12/13,John Lineker,Flyweight,8
2/12/13,Darren Uyenoyama,Flyweight,9
2/12/13,Ulysses Gomez,Flyweight,10
2/12/13,Dominick Cruz,Bantamweight,0
2/12/13,Renan Barao,Bantamweight,1
2/12/13,Michael McDonald,Bantamweight,2
2/12/13,Urijah Faber,Bantamweight,3
2/12/13,Eddie Wineland,Bantamweight,4
2/12/13,Brad Pickett,Bantamweight,5
2/12/13,Brian Bowles,Bantamweight,6
2/12/13,Rafael Assuncao,Bantamweight,7
2/12/13,Scott Jorgensen,Bantamweight,8
2/12/13,Mike Easton,Bantamweight,9
2/12/13,Ivan Menjivar,Bantamweight,10
2/12/13,Jose Aldo,Featherweight,0
2/12/13,Chad Mendes,Featherweight,1
2/12/13,Ricardo Lamas,Featherweight,2
2/12/13,Chan Sung Jung,Featherweight,3
2/12/13,Frankie Edgar,Featherweight,4
2/12/13,Dennis Siver,Featherweight,5
2/12/13,Cub Swanson,Featherweight,6
2/12/13,Dustin Poirier,Featherweight,7
2/12/13,Nik Lentz,Featherweight,8
2/12/13,Erik Koch,Featherweight,9
2/12/13,Clay Guida,Featherweight,10
2/12/13,Benson Henderson,Lightweight,0
2/12/13,Gilbert Melendez,Lightweight,1
2/12/13,Anthony Pettis,Lightweight,2
2/12/13,Gray Maynard,Lightweight,3
2/12/13,Nate Diaz,Lightweight,4
2/12/13,Jim Miller,Lightweight,5
2/12/13,Donald Cerrone,Lightweight,6
2/12/13,TJ Grant,Lightweight,7
2/12/13,Rafael dos Anjos,Lightweight,8
2/12/13,Joe Lauzon,Lightweight,9
2/12/13,Khabib Nurmagomedov,Lightweight,10
2/12/13,Georges St-Pierre,Welterweight,0
2/12/13,Johny Hendricks,Welterweight,1
2/12/13,Carlos Condit,Welterweight,2
2/12/13,Nick Diaz,Welterweight,3
2/12/13,Rory MacDonald,Welterweight,4
2/12/13,Demian Maia,Welterweight,5
2/12/13,Jake Ellenberger,Welterweight,6
2/12/13,Martin Kampmann,Welterweight,7
2/12/13,Josh Koscheck,Welterweight,8
2/12/13,Jon Fitch,Welterweight,9
2/12/13,Tarec Saffiedine,Welterweight,10
2/12/13,Anderson Silva,Middleweight,0
2/12/13,Chris Weidman,Middleweight,1
2/12/13,Vitor Belfort,Middleweight,2
2/12/13,Michael Bisping,Middleweight,3
2/12/13,Yushin Okami,Middleweight,4
2/12/13,Mark Munoz,Middleweight,5
2/12/13,Constantinos Philippou,Middleweight,6
2/12/13,Luke Rockhold,Middleweight,7
2/12/13,Hector Lombard,Middleweight,8
2/12/13,Alan Belcher,Middleweight,9
2/12/13,Tim Boetsch,Middleweight,10
2/12/13,Jon Jones,Light Heavyweight,0
2/12/13,Dan Henderson,Light Heavyweight,1
2/12/13,Lyoto Machida,Light Heavyweight,2
2/12/13,Alexander Gustafsson,Light Heavyweight,3
2/12/13,Glover Teixeira,Light Heavyweight,4
2/12/13,Antonio Rogerio Nogueira,Light Heavyweight,5
2/12/13,Rashad Evans,Light Heavyweight,6
2/12/13,Mauricio Rua,Light Heavyweight,7
2/12/13,Phil Davis,Light Heavyweight,8
2/12/13,Ryan Bader,Light Heavyweight,9
2/12/13,Gegard Mousasi,Light Heavyweight,10
2/12/13,Cain Velasquez,Heavyweight,0
2/12/13,Junior dos Santos,Heavyweight,1
2/12/13,Fabricio Werdum,Heavyweight,2
2/12/13,Daniel Cormier,Heavyweight,3
2/12/13,Antonio Silva,Heavyweight,4
2/12/13,Frank Mir,Heavyweight,5
2/12/13,Alistair Overeem,Heavyweight,6
2/12/13,Antonio Rodrigo Nogueira,Heavyweight,7
2/12/13,Roy Nelson,Heavyweight,8
2/12/13,Stefan Struve,Heavyweight,9
2/12/13,Shane Carwin,Heavyweight,10
2/18/13,Anderson Silva,Pound-for-Pound,1
2/18/13,Jon Jones,Pound-for-Pound,2
2/18/13,Georges St-Pierre,Pound-for-Pound,3
2/18/13,Jose Aldo,Pound-for-Pound,4
2/18/13,Benson Henderson,Pound-for-Pound,5
2/18/13,Cain Velasquez,Pound-for-Pound,6
2/18/13,Dominick Cruz,Pound-for-Pound,7
2/18/13,Demetrious Johnson,Pound-for-Pound,8
2/18/13,Renan Barao,Pound-for-Pound,9
2/18/13,Dan Henderson,Pound-for-Pound,10
2/18/13,Demetrious Johnson,Flyweight,0
2/18/13,Joseph Benavidez,Flyweight,1
2/18/13,John Dodson,Flyweight,2
2/18/13,Ian McCall,Flyweight,3
2/18/13,John Moraga,Flyweight,4
2/18/13,Jussier Da Silva,Flyweight,5
2/18/13,Louis Gaudinot,Flyweight,6
2/18/13,Chris Cariaso,Flyweight,7
2/18/13,Darren Uyenoyama,Flyweight,8
2/18/13,John Lineker,Flyweight,9
2/18/13,Timothy Elliott,Flyweight,10
2/18/13,Dominick Cruz,Bantamweight,0
2/18/13,Renan Barao,Bantamweight,1
2/18/13,Urijah Faber,Bantamweight,2
2/18/13,Michael McDonald,Bantamweight,3
2/18/13,Eddie Wineland,Bantamweight,4
2/18/13,Brad Pickett,Bantamweight,5
2/18/13,Rafael Assuncao,Bantamweight,6
2/18/13,Brian Bowles,Bantamweight,7
2/18/13,Scott Jorgensen,Bantamweight,8
2/18/13,Mike Easton,Bantamweight,9
2/18/13,Ivan Menjivar,Bantamweight,10
2/18/13,Jose Aldo,Featherweight,0
2/18/13,Chad Mendes,Featherweight,1
2/18/13,Ricardo Lamas,Featherweight,2
2/18/13,Chan Sung Jung,Featherweight,3
2/18/13,Frankie Edgar,Featherweight,4
2/18/13,Cub Swanson,Featherweight,5
2/18/13,Dennis Siver,Featherweight,6
2/18/13,Dustin Poirier,Featherweight,7
2/18/13,Erik Koch,Featherweight,8
2/18/13,Nik Lentz,Featherweight,9
2/18/13,Clay Guida,Featherweight,10
2/18/13,Benson Henderson,Lightweight,0
2/18/13,Gilbert Melendez,Lightweight,1
2/18/13,Anthony Pettis,Lightweight,2
2/18/13,Gray Maynard,Lightweight,3
2/18/13,Nate Diaz,Lightweight,4
2/18/13,Jim Miller,Lightweight,5
2/18/13,Donald Cerrone,Lightweight,6
2/18/13,TJ Grant,Lightweight,7
2/18/13,Rafael dos Anjos,Lightweight,8
2/18/13,Joe Lauzon,Lightweight,9
2/18/13,Khabib Nurmagomedov,Lightweight,10
2/18/13,Georges St-Pierre,Welterweight,0
2/18/13,Johny Hendricks,Welterweight,1
2/18/13,Carlos Condit,Welterweight,2
2/18/13,Nick Diaz,Welterweight,3
2/18/13,Rory MacDonald,Welterweight,4
2/18/13,Demian Maia,Welterweight,5
2/18/13,Jake Ellenberger,Welterweight,6
2/18/13,Martin Kampmann,Welterweight,7
2/18/13,Josh Koscheck,Welterweight,8
2/18/13,Tarec Saffiedine,Welterweight,9
2/18/13,Mike Pierce,Welterweight,10
2/18/13,Anderson Silva,Middleweight,0
2/18/13,Chris Weidman,Middleweight,1
2/18/13,Vitor Belfort,Middleweight,2
2/18/13,Michael Bisping,Middleweight,3
2/18/13,Yushin Okami,Middleweight,4
2/18/13,Constantinos Philippou,Middleweight,5
2/18/13,Mark Munoz,Middleweight,6
2/18/13,Luke Rockhold,Middleweight,7
2/18/13,Hector Lombard,Middleweight,8
2/18/13,Alan Belcher,Middleweight,9
2/18/13,Chael Sonnen,Middleweight,10
2/18/13,Jon Jones,Light Heavyweight,0
2/18/13,Dan Henderson,Light Heavyweight,1
2/18/13,Lyoto Machida,Light Heavyweight,2
2/18/13,Alexander Gustafsson,Light Heavyweight,3
2/18/13,Glover Teixeira,Light Heavyweight,4
2/18/13,Antonio Rogerio Nogueira,Light Heavyweight,5
2/18/13,Rashad Evans,Light Heavyweight,6
2/18/13,Mauricio Rua,Light Heavyweight,7
2/18/13,Phil Davis,Light Heavyweight,8
2/18/13,Ryan Bader,Light Heavyweight,9
2/18/13,Gegard Mousasi,Light Heavyweight,10
2/18/13,Cain Velasquez,Heavyweight,0
2/18/13,Junior dos Santos,Heavyweight,1
2/18/13,Fabricio Werdum,Heavyweight,2
2/18/13,Daniel Cormier,Heavyweight,3
2/18/13,Antonio Silva,Heavyweight,4
2/18/13,Frank Mir,Heavyweight,5
2/18/13,Alistair Overeem,Heavyweight,6
2/18/13,Antonio Rodrigo Nogueira,Heavyweight,7
2/18/13,Roy Nelson,Heavyweight,8
2/18/13,Stefan Struve,Heavyweight,9
2/18/13,Shane Carwin,Heavyweight,10
2/25/13,Anderson Silva,Pound-for-Pound,1
2/25/13,Jon Jones,Pound-for-Pound,2
2/25/13,Georges St-Pierre,Pound-for-Pound,3
2/25/13,Jose Aldo,Pound-for-Pound,4
2/25/13,Benson Henderson,Pound-for-Pound,5
2/25/13,Cain Velasquez,Pound-for-Pound,6
2/25/13,Demetrious Johnson,Pound-for-Pound,7
2/25/13,Dominick Cruz,Pound-for-Pound,8
2/25/13,Renan Barao,Pound-for-Pound,9
2/25/13,Frankie Edgar,Pound-for-Pound,10
2/25/13,Demetrious Johnson,Flyweight,0
2/25/13,Joseph Benavidez,Flyweight,1
2/25/13,John Dodson,Flyweight,2
2/25/13,Ian McCall,Flyweight,3
2/25/13,John Moraga,Flyweight,4
2/25/13,Jussier Da Silva,Flyweight,5
2/25/13,Louis Gaudinot,Flyweight,6
2/25/13,Chris Cariaso,Flyweight,7
2/25/13,Darren Uyenoyama,Flyweight,8
2/25/13,John Lineker,Flyweight,9
2/25/13,Timothy Elliott,Flyweight,10
2/25/13,Dominick Cruz,Bantamweight,0
2/25/13,Renan Barao,Bantamweight,1
2/25/13,Urijah Faber,Bantamweight,2
2/25/13,Michael McDonald,Bantamweight,3
2/25/13,Eddie Wineland,Bantamweight,4
2/25/13,Brad Pickett,Bantamweight,5
2/25/13,Rafael Assuncao,Bantamweight,6
2/25/13,Scott Jorgensen,Bantamweight,7
2/25/13,Brian Bowles,Bantamweight,8
2/25/13,Mike Easton,Bantamweight,9
2/25/13,Ivan Menjivar,Bantamweight,10
2/25/13,Jose Aldo,Featherweight,0
2/25/13,Chad Mendes,Featherweight,1
2/25/13,Ricardo Lamas,Featherweight,2
2/25/13,Frankie Edgar,Featherweight,3
2/25/13,Chan Sung Jung,Featherweight,4
2/25/13,Cub Swanson,Featherweight,5
2/25/13,Dennis Siver,Featherweight,6
2/25/13,Dustin Poirier,Featherweight,7
2/25/13,Nik Lentz,Featherweight,8
2/25/13,Clay Guida,Featherweight,9
2/25/13,Erik Koch,Featherweight,10
2/25/13,Benson Henderson,Lightweight,0
2/25/13,Gilbert Melendez,Lightweight,1
2/25/13,Anthony Pettis,Lightweight,2
2/25/13,Gray Maynard,Lightweight,3
2/25/13,Nate Diaz,Lightweight,4
2/25/13,Jim Miller,Lightweight,5
2/25/13,Donald Cerrone,Lightweight,6
2/25/13,TJ Grant,Lightweight,7
2/25/13,Rafael dos Anjos,Lightweight,8
2/25/13,Joe Lauzon,Lightweight,9
2/25/13,Khabib Nurmagomedov,Lightweight,10
2/25/13,Georges St-Pierre,Welterweight,0
2/25/13,Johny Hendricks,Welterweight,1
2/25/13,Carlos Condit,Welterweight,2
2/25/13,Nick Diaz,Welterweight,3
2/25/13,Rory MacDonald,Welterweight,4
2/25/13,Demian Maia,Welterweight,5
2/25/13,Jake Ellenberger,Welterweight,6
2/25/13,Martin Kampmann,Welterweight,7
2/25/13,Tarec Saffiedine,Welterweight,8
2/25/13,Josh Koscheck,Welterweight,9
2/25/13,Robbie Lawler,Welterweight,10
2/25/13,Anderson Silva,Middleweight,0
2/25/13,Chris Weidman,Middleweight,1
2/25/13,Vitor Belfort,Middleweight,2
2/25/13,Michael Bisping,Middleweight,3
2/25/13,Yushin Okami,Middleweight,4
2/25/13,Constantinos Philippou,Middleweight,5
2/25/13,Luke Rockhold,Middleweight,6
2/25/13,Mark Munoz,Middleweight,7
2/25/13,Hector Lombard,Middleweight,8
2/25/13,Chael Sonnen,Middleweight,9
2/25/13,Ronaldo Souza,Middleweight,10
2/25/13,Jon Jones,Light Heavyweight,0
2/25/13,Lyoto Machida,Light Heavyweight,1
2/25/13,Alexander Gustafsson,Light Heavyweight,2
2/25/13,Dan Henderson,Light Heavyweight,3
2/25/13,Glover Teixeira,Light Heavyweight,4
2/25/13,Antonio Rogerio Nogueira,Light Heavyweight,5
2/25/13,Mauricio Rua,Light Heavyweight,6
2/25/13,Rashad Evans,Light Heavyweight,6
2/25/13,Phil Davis,Light Heavyweight,8
2/25/13,Ryan Bader,Light Heavyweight,9
2/25/13,Gegard Mousasi,Light Heavyweight,10
2/25/13,Cain Velasquez,Heavyweight,0
2/25/13,Junior dos Santos,Heavyweight,1
2/25/13,Fabricio Werdum,Heavyweight,2
2/25/13,Daniel Cormier,Heavyweight,3
2/25/13,Antonio Silva,Heavyweight,4
2/25/13,Frank Mir,Heavyweight,5
2/25/13,Alistair Overeem,Heavyweight,6
2/25/13,Roy Nelson,Heavyweight,7
2/25/13,Antonio Rodrigo Nogueira,Heavyweight,8
2/25/13,Stefan Struve,Heavyweight,9
2/25/13,Shane Carwin,Heavyweight,10
3/18/13,Anderson Silva,Pound-for-Pound,1
3/18/13,Jon Jones,Pound-for-Pound,2
3/18/13,Georges St-Pierre,Pound-for-Pound,3
3/18/13,Jose Aldo,Pound-for-Pound,4
3/18/13,Benson Henderson,Pound-for-Pound,5
3/18/13,Cain Velasquez,Pound-for-Pound,6
3/18/13,Demetrious Johnson,Pound-for-Pound,7
3/18/13,Renan Barao,Pound-for-Pound,8
3/18/13,Dominick Cruz,Pound-for-Pound,9
3/18/13,Frankie Edgar,Pound-for-Pound,10
3/18/13,Demetrious Johnson,Flyweight,0
3/18/13,Joseph Benavidez,Flyweight,1
3/18/13,John Dodson,Flyweight,2
3/18/13,Ian McCall,Flyweight,3
3/18/13,John Moraga,Flyweight,4
3/18/13,Jussier Da Silva,Flyweight,5
3/18/13,Louis Gaudinot,Flyweight,6
3/18/13,Chris Cariaso,Flyweight,7
3/18/13,Darren Uyenoyama,Flyweight,8
3/18/13,John Lineker,Flyweight,9
3/18/13,Timothy Elliott,Flyweight,10
3/18/13,Dominick Cruz,Bantamweight,0
3/18/13,Renan Barao,Bantamweight,1
3/18/13,Urijah Faber,Bantamweight,2
3/18/13,Michael McDonald,Bantamweight,3
3/18/13,Eddie Wineland,Bantamweight,4
3/18/13,Brad Pickett,Bantamweight,5
3/18/13,Raphael Assuncao,Bantamweight,6
3/18/13,Scott Jorgensen,Bantamweight,7
3/18/13,Brian Bowles,Bantamweight,8
3/18/13,Mike Easton,Bantamweight,9
3/18/13,Ivan Menjivar,Bantamweight,10
3/18/13,Jose Aldo,Featherweight,0
3/18/13,Chad Mendes,Featherweight,1
3/18/13,Ricardo Lamas,Featherweight,2
3/18/13,Frankie Edgar,Featherweight,3
3/18/13,Chan Sung Jung,Featherweight,4
3/18/13,Cub Swanson,Featherweight,5
3/18/13,Dennis Siver,Featherweight,6
3/18/13,Dustin Poirier,Featherweight,7
3/18/13,Clay Guida,Featherweight,8
3/18/13,Nik Lentz,Featherweight,9
3/18/13,Erik Koch,Featherweight,10
3/18/13,Benson Henderson,Lightweight,0
3/18/13,Gilbert Melendez,Lightweight,1
3/18/13,Anthony Pettis,Lightweight,2
3/18/13,Gray Maynard,Lightweight,3
3/18/13,Nate Diaz,Lightweight,4
3/18/13,Jim Miller,Lightweight,5
3/18/13,Donald Cerrone,Lightweight,6
3/18/13,TJ Grant,Lightweight,7
3/18/13,Rafael dos Anjos,Lightweight,8
3/18/13,Khabib Nurmagomedov,Lightweight,9
3/18/13,Joe Lauzon,Lightweight,10
3/18/13,Georges St-Pierre,Welterweight,0
3/18/13,Johny Hendricks,Welterweight,1
3/18/13,Carlos Condit,Welterweight,2
3/18/13,Rory MacDonald,Welterweight,3
3/18/13,Jake Ellenberger,Welterweight,4
3/18/13,Demian Maia,Welterweight,5
3/18/13,Nick Diaz,Welterweight,6
3/18/13,Martin Kampmann,Welterweight,7
3/18/13,Tarec Saffiedine,Welterweight,8
3/18/13,Robbie Lawler,Welterweight,9
3/18/13,Josh Koscheck,Welterweight,10
3/18/13,Anderson Silva,Middleweight,0
3/18/13,Chris Weidman,Middleweight,1
3/18/13,Vitor Belfort,Middleweight,2
3/18/13,Yushin Okami,Middleweight,3
3/18/13,Michael Bisping,Middleweight,4
3/18/13,Constantinos Philippou,Middleweight,5
3/18/13,Luke Rockhold,Middleweight,6
3/18/13,Mark Munoz,Middleweight,7
3/18/13,Chael Sonnen,Middleweight,8
3/18/13,Ronaldo Souza,Middleweight,9
3/18/13,Alan Belcher,Middleweight,10
3/18/13,Jon Jones,Light Heavyweight,0
3/18/13,Lyoto Machida,Light Heavyweight,1
3/18/13,Alexander Gustafsson,Light Heavyweight,2
3/18/13,Dan Henderson,Light Heavyweight,3
3/18/13,Glover Teixeira,Light Heavyweight,4
3/18/13,Antonio Rogerio Nogueira,Light Heavyweight,5
3/18/13,Mauricio Rua,Light Heavyweight,6
3/18/13,Rashad Evans,Light Heavyweight,7
3/18/13,Phil Davis,Light Heavyweight,8
3/18/13,Ryan Bader,Light Heavyweight,9
3/18/13,Gegard Mousasi,Light Heavyweight,10
3/18/13,Cain Velasquez,Heavyweight,0
3/18/13,Junior dos Santos,Heavyweight,1
3/18/13,Fabricio Werdum,Heavyweight,2
3/18/13,Daniel Cormier,Heavyweight,3
3/18/13,Antonio Silva,Heavyweight,4
3/18/13,Frank Mir,Heavyweight,5
3/18/13,Alistair Overeem,Heavyweight,6
3/18/13,Antonio Rodrigo Nogueira,Heavyweight,7
3/18/13,Roy Nelson,Heavyweight,8
3/18/13,Mark Hunt,Heavyweight,9
3/18/13,Stefan Struve,Heavyweight,10
3/18/13,Ronda Rousey,Women's Bantamweight,0
