Event_ID,Fight_ID,Date,B_ID,B_Name,B_HomeTown,B_Location,B_Age,B_Weight,R_ID,R_Name,R_HomeTown,R_Location,R_Age,R_Weight,WinningColor,Winby
647,4626,3/7/14,1990,Andy Ogle,Newcastle England,Newcastle England,29.0,65.0,1531,Charles Oliveira,Sao Paulo Brazil,"Houston , Texas United States",28.0,70.0,red,SUB
647,4636,2/17/14,2154,Zubaira Tukhugov,"Grozny, Chechen Republic Russia","Grozny, Chechen Republic Russia",27.0,65.0,2183,Douglas Silva de Andrade,"Castanhal, Para Brazil","Castanhal, Para Brazil",33.0,61.0,blue,DEC
647,4641,2/16/14,2096,Ivan Jorge,Rio de Janeiro Brazil,"Florianopolis, Santa Catarina Brazil",37.0,70.0,1367,Rodrigo Damm,"Afonso Claudio, Espirito Santo Brazil","Vila Velha, Espirito Santo Brazil",38.0,70.0,red,DEC
647,4660,2/16/14,2095,Wilson Reis,"Januaria, Minas Gerais Brazil","San Diego, California United States",33.0,56.0,1706,Iuri Alcantara,Marajo Brazil,"Soure, Para Brazil",38.0,61.0,red,DEC
647,4669,2/16/14,1864,Maximo Blanco,Caracas Venezuela,Tokyo Japan,34.0,65.0,1858,Felipe Arantes,Sao Paulo Brazil,Sao Paulo Brazil,30.0,61.0,red,DEC
647,4683,3/7/14,2171,Takenori Sato,Akita Japan,Tokyo Japan,33.0,77.0,1820,Erick Silva,"Vila Velha, Espirito Santo Brazil","Vila Velha, Espirito Santo Brazil",34.0,77.0,red,KO/TKO
647,4684,2/16/14,2172,Albert Tumenov,Nalchik Russia,"Fairfield, New Jersey USA",26.0,77.0,2051,Ildemar Alcantara,"Soure, Para Brazil","Soure, Para Brazil",35.0,84.0,red,DEC
648,4592,1/7/14,2020,Hyun Gyu Lim,Seoul South Korea,Seoul South Korea,33.0,77.0,942,Tarec Saffiedine,Brussels Belgium,Brussels Belgium,32.0,77.0,red,DEC
648,4593,1/7/14,2153,Sean Soriano,"Providence, Rhode Island USA","Boca Raton, Florida USA",29.0,65.0,750,Tatsuya Kawajiri,Ibaraki Japan,Ibaraki Japan,40.0,65.0,red,SUB
648,4594,1/7/14,2151,Luiz Dutra,Rio de Janeiro Brazil,Rio de Janeiro Brazil,36.0,77.0,2131,Kiichi Kunimoto,Osaka Japan,Osaka Japan,37.0,77.0,red,KO/TKO
648,4595,1/7/14,2132,Shunichi Shimizu,"Okinoerabujima, Kagoshima Prefecture Japan","Okinoerabujima, Kagoshima Prefecture Japan",33.0,61.0,2018,Kyung Ho Kang,Busan South Korea,Busan South Korea,31.0,61.0,red,SUB
648,4596,1/7/14,1805,Quinn Mulhern,"Santa Cruz, CA USA","Albuquerque, NM USA",34.0,70.0,941,Katsunori Kikuno,Kagoshima Japan,Tokyo Japan,36.0,65.0,red,DEC
648,4620,1/8/14,2143,Jon Delos Reyes,Tamuning Guam,Tamuning Guam,31.0,56.0,2054,Dustin Kimura,"Honolulu, Hawaii USA","Honolulu, Hawaii USA",29.0,61.0,red,SUB
648,4621,8/29/16,2145,Tae Hyun Bang,Seoul South Korea,Seoul South Korea,35.0,70.0,2144,Mairbek Taisumov,"Grozny, Chechen Republic Russia",Vienna Austria,30.0,70.0,red,DEC
648,4622,1/7/14,2146,Will Chope,"Sacramento, CA USA",Maha Sarakham Thailand,28.0,65.0,1936,Max Holloway,"Oahu, Hawaii United States","Waianae, Hawaii United States",26.0,65.0,red,KO/TKO
648,4623,1/5/14,2148,Dave Galera,"Santa Clara, CA USA",Baguio City Philippines,40.0,61.0,2147,Royston Wee,Singapore,Singapore,31.0,61.0,red,DEC
648,4663,1/8/14,2164,Russell Doane,"Honolulu, Hawaii United States","Honolulu, Hawaii United States",32.0,61.0,2165,Leandro Issa,"Ubatuba, Sao Paulo Brazil",Singapore,35.0,61.0,blue,SUB
649,4597,3/10/14,2009,Jimi Manuwa,"Sacramento, California United States",London England,38.0,93.0,1139,Alexander Gustafsson,Arboga Sweden,Stockholm Sweden,31.0,93.0,red,KO/TKO
649,4627,6/3/14,2060,Ilir Latifi,Malmo Sweden,Malmo Sweden,35.0,93.0,699,Cyrille Diabate,"Celle Saint Cloud, Paris France",Rueil Malmaison France,45.0,93.0,blue,SUB
649,4643,7/8/17,2196,Neil Seery,Dublin Ireland,Dublin Ireland,39.0,56.0,1170,Brad Pickett,East London England,East London England,40.0,61.0,red,DEC
649,4644,6/3/14,2104,Omari Akhmedov,"Kizlyar, Dagestan Russia",Makhachkala Russia,30.0,84.0,2015,Gunnar Nelson,Reykjavik Iceland,Reykjavik Iceland,30.0,77.0,red,
649,4645,3/10/14,2156,Danny Mitchell,Doncaster England,Doncaster England,32.0,77.0,2100,Igor Araujo,Brasilia Brazil,"Albuquerque, NM USA",37.0,77.0,red,DEC
