Event_ID,B_Name,R_Name,winner,winby,Fight_ID
655,Lipeng Zhang,Sai Wang,blue,DEC,4701
655,An Ying Wang,Albert Cheng,blue,KO/TKO,4731
655,Mark Eddiva,Jumabieke Tuerxun,blue,DEC,4732
660,Glover Teixeira,Jon Jones,red,DEC,4686
660,Andre Fili,Max Holloway,red,SUB,4695
660,Tim Elliott,Joseph Benavidez,red,SUB,4704
660,Bethe Correia,Jessamyn Duke,blue,DEC,4705
660,Tim Boetsch,Luke Rockhold,red,SUB,4717
660,Anthony Johnson,Phil Davis,blue,DEC,4719
660,Yancy Medeiros,Jim Miller,red,SUB,4729
660,Isaac Vallie-Flagg,Takanori Gomi,red,DEC,4740
660,Patrick Williams,Chris Beal,red,KO/TKO,4817
661,Khabib Nurmagomedov,Rafael dos Anjos,blue,DEC,4635
661,Travis Browne,Fabricio Werdum,red,DEC,4687
661,Liz Carmouche,Miesha Tate,red,DEC,4688
661,Edson Barboza,Donald Cerrone,red,SUB,4707
661,Yoel Romero,Brad Tavares,blue,DEC,4721
661,Pat Healy,Jorge Masvidal,red,DEC,4722
661,Luke Zachrich,Caio Magalhaes,red,KO/TKO,4723
661,Seth Baczynski,Thiago Alves,red,DEC,4724
661,Hernani Perpetuo,Jordan Mein,red,DEC,4726
661,Jack May,Derrick Lewis,red,KO/TKO,4735
661,Alex White,Estevan Payan,blue,KO/TKO,4741
661,Ray Borg,Dustin Ortiz,red,DEC,4801
661,Chas Skelly,Mirsad Bektic,red,DEC,4802
662,Dan Henderson,Mauricio Rua,blue,KO/TKO,4691
662,Hans Stringer,Francimar Barroso,blue,DEC,4702
662,CB Dollaway,Cezar Ferreira,blue,KO/TKO,4709
662,Gian Villante,Fabio Maldonado,red,DEC,4711
662,Steven Siler,Rony Jason,red,KO/TKO,4712
662,Mairbek Taisumov,Michel Prazeres,red,DEC,4713
662,Thiago Santos,Ronny Markes,blue,KO/TKO,4714
662,Scott Jorgensen,Jussier Formiga,red,SUB,4715
